Problem,Specialist
আমার এক মাস ধরে রাতে নাক বন্ধ হয়ে যায় । মাথাব্যথা করছে।,ENT
চোখ খুললে কেমন যেন হালকা মাথা ঘোরে।,Ophthalmologist
"আমার সপ্তাহের শুরুতে থেকে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে স্থায়ীভাবে মাড়ি ক্ষয় হচ্ছে। ব্যথানাশক ছাড়া চলছেই না এর সঙ্গে গরম চা/কফি এ সমস্যা।",Dentist
মাসিক আসার সময় বুকে ভারী ভারী লাগে।,Gynecologist
আমি আমার হৃদরোগ সম্পর্কে আরও ভালোভাবে জানতে চাই।,Cardiologist
আমার পিঠে একটি বড় ফোঁড়া হয়েছে।,Surgery
মাসিকের সময় অতিরিক্ত রক্তপাত হয়।,Gynecologist
আমার পায়ু পথে অনেক বেশি চুল্কায়,Medicine
"আমার অনেক দিন সময় ধরে দাঁতের চিবোনোর পৃষ্ঠে এ পচন, যা থেকে মাঝে মাঝে পুঁজ বের হয়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
"এটি আমাদের পছন্দ যা দেখায় যে আমরা আসলে কী, আমাদের ক্ষমতার চেয়ে অনেক বেশি।",Psychiatrist
"আমার প্রায় মাসখানেক ধরে দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি এর সঙ্গে মাড়ি থেকে পুঁজ।",Dentist
আমার পা সবসময় ঘামে আর ভেজা থাকে।,Skin
আমার ঘাড়ের ব্যথার জন্য মাথা ঘোরায়।,Orthopedic
আমার কানের পর্দায় বড় একটি ছিদ্র হয়েছে।,Surgery
আমার পাইলসের অপারেশন করা লাগবে কিনা জানতে চাই।,Surgery
চোখে হঠাৎ করে কালো দাগ দেখি।,Ophthalmologist
"আমার পরশু দিন থেকে ঠান্ডা পানীয় খেলে তীব্র শিরশির অনুভূতি, এমনকি কামড় দিয়ে আপেল খেলেও। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
"আমার সপ্তাহের শুরুতে থেকে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে খাবার চিবোতে সমস্যা হচ্ছে। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না সাথে আরও উপরের ডান দিকের মোলার দাঁতে তীব্র যন্ত্রণা।",Dentist
আমার মায়ের অস্টিওপরোসিস ধরা পড়েছে।,Orthopedic
মাসিকের সময় স্রাবের রঙ অস্বাভাবিক হয়।,Gynecologist
আমার অ্যাবলেশন থেরাপি করা হয়েছে।,Cardiologist
চোখে জল আসলেও আরাম লাগে না।,Ophthalmologist
আমি দ্বিতীয় বাচ্চার আগে হরমোন পরীক্ষা করাতে চাই।,Gynecologist
চোখের কোণায় চুলকায়।,Ophthalmologist
"আমার পরশু দিন থেকে মিষ্টি জাতীয় খাবার খেলে দীর্ঘস্থায়ী অস্বস্তি, বিশেষ করে চকলেট বা মিষ্টি ফল। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
অপমান অবহেলা করেছে।একটু কথা বলার জন্য আকুতি মিনতি করেছি কিন্তু সে আমাকে একটুও বুঝেনি।অন্যাদের নিয়ে বেশ ভালো আছে। শেষ দুমাস টানা ঘুমের ঔষধ খেয়ে ঘুমিয়েছি।ঔষধ বাদ ঘুম ও নেই চোখে।,Psychiatrist
চোখে একরকম অন্ধকার দেখি সবসময়।,Ophthalmologist
আমি প্রেগন্যান্ট কিন্তু ওজন অনেক কমে যাচ্ছে।,Gynecologist
আমার নাকের দুই পাশে চামড়া ওঠে।,Skin
"ফ্যামিলি প্রবলেম যে কতটা যন্ত্রণাদায়ক, সেটা বুঝার ক্ষমতা সবার হয়না",Psychiatrist
আচ্চা আপনারাও কি সপ্নের ভিতর ব্যথা পাইলে সেটা অনুভব করেন..? আমার কিন্তু সপ্নের ভিতর ও ব্যথা অনুভব হয়। তখন আমি যে ঘুমে আছি সেটাও বুঝি এবং খুব চেস্টা করি জাগ্রত হওয়ার জন্য।,Psychiatrist
আমার বাম হাতটা দুর্বল হয়ে পড়েছে।,Orthopedic
আমার পায়ে পানি জমে ফুলে গেছে।,Cardiologist
আমার কান বাজে এবং মাঝে মাঝে ব্যথা হয়।,Medicine
আমার প্রায় এক সপ্তাহ যাবত কান থেকে পানি ঝরছে।,ENT
আমার কোন ফ্রেন্ড নাই। সেজন্য মন খারাপ থাকে সবসময়ই। আমাকে বুঝার মতো ও কেউ নাই। জীবন টা বিরক্তকর লাগে। এটা থেকে কেমনে মুক্তি পাবো??????,Psychiatrist
আমার গত কয়েক দিন যাবত গলা শুকিয়ে কাঠ হয়ে গেছে সাথে সাথে গলার ভিতরে কিছু আটকে আছে বলে মনে হয়। জ্বর আসছে।,ENT
"আমার হার্টবিট মাঝে মাঝে খুব দ্রুত চলে, আবার মাঝে মাঝে খুব ধীরে।",Cardiologist
আমার কয়েকদিন ধরে অনেক বেশি শরীর চুল্কায়,Skin
আমার চোখে এলার্জি হয়েছে।,Ophthalmologist
আমার মাংসপেশী ছিঁড়ে গেছে।,Surgery
আমার কোমর থেকে ঊরু পর্যন্ত অবশ লাগে।,Orthopedic
গর্ভধারণের প্রথম দিকে রক্তপাত হয়েছিল।,Gynecologist
আমার হাতে ব্যান্ডেজ খুলে আবার রক্ত পড়ছে।,Surgery
আমার ভাঙা পায়ের জন্য প্লাস্টার করা হয়েছে।,Surgery
আমার গর্ভাবস্থায় তলপেটে টান লাগে।,Gynecologist
আমার প্রায় কয়েক মাস যাবত কান থেকে পানি ঝরছে সাথে সাথে কানে টনটনে ব্যথা করছে।,ENT
আমার এক মাস থেকে বাম কানে তীব্র ব্যথা অনুভব করছি এছাড়াও কানে কম শুনতে পাচ্ছি।,ENT
আমার পাইলসের সমস্যা আছে।,Surgery
"ইদানীং রাগ খুব বেড়ে গেছে, খুব সহজেই রেগে যাই, এর কারণ কী? কীভাবে স্বাভাবিক অবস্থায় আসতে পারি?",Psychiatrist
আমার মুখে তেলতেলে ভাবটা খুব বেশি।,Skin
আমার যোনিপথে সিস্ট হয়েছে।,Surgery
পিরিয়ডের সময় বমি হয়ে যায় বারবার।,Gynecologist
আমার নখের পাশে পুঁজ জমেছে।,Surgery
আমার খালা হঠাৎ করে হাত পা নাড়াতে পারছে না একদম অবশ হয়ে গেছে,Medicine
আমার হৃদরোগের ঝুঁকি কমানোর জন্য কি কি পরীক্ষা করা দরকার তা জানতে এসেছি।,Cardiologist
গর্ভাবস্থায় চোখের ভেতর ব্যথা অনুভব করি।,Gynecologist
আমারহঠাৎ করে বুকে ব্যথা করে তখন প্রায় ৫ থেকে ১০ মিনিটের মত ব্যথা থাকে। যন্ত্রণায় আমি ঘামতে থাকি,Cardiologist
আমার কনুইয়ের জয়েন্টে ক্রনিক পেইন।,Orthopedic
আমার পিঠের ব্রণগুলোতে খুব ব্যথা।,Skin
পিরিয়ড শুরু হলে অনেক বড় ক্লট বের হয়।,Gynecologist
আমার ত্বকটা মাঝে মাঝে খুব লাল হয়ে যায়।,Skin
আমার বুক জ্বালা করে খালি পেটে থাকলে।,Medicine
আমার খাদ্যনালীর ক্যান্সার ধরা পড়েছে।,Surgery
আমার হাতের বুড়ো আঙুল নাড়াতে পারি না।,Orthopedic
চোখের পাপড়ি হঠাৎ হঠাৎ পড়ে যায়।,Ophthalmologist
আমার ত্বকে অ্যালার্জির কারণে ছোট ছোট পানির মতো ফোসকা হয়।,Skin
"আমার গতকাল থেকে মাড়ি সরে যাওয়া, দাঁতের গোড়া বের হয়ে আসছে মুখে দুর্গন্ধ সৃষ্টি করছে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে এবং এর সাথে নিচের বাম দিকের ক্যানাইন দাঁতে চিনচিন ব্যথা।",Dentist
আমার কান থেকে মাঝে মাঝে পানি পড়ে।,Medicine
"আমার গত দুই সপ্তাহ যাবৎ চোয়ালে ব্যথা, কারণ সকালে ঘুম থেকে উঠলে বেশি ডায়াবেটিসের সমস্যা আছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
অল্পতেই আমি খুব ক্লান্ত হয়ে পড়ি এবং দুর্বল লাগে।,Cardiologist
দুই চোখের মণি সমান মনে হয় না।,Ophthalmologist
আমাদের বাসায় সবার ডায়রিয়া হয়েছে কিন্তু কোন ওষুধ কাজ করছে না,Medicine
"আচ্ছা কাউকে ভালোবাসলে কি তাকে ঘৃণা করা সম্ভব? তার কথা মনে আসলেই রাগ হবে এমন সম্ভব? আমি কেন পারছিনা? এতদিন পরেও তার প্রতি ভালোবাসা বাড়তেই আছে,এতটুকুও রাগ বা ঘৃণা আনতে পারিনা যথেষ্ট কারণ থাকা সত্বেও।",Psychiatrist
আমার হার্টের ভাল্ভে একটা সমস্যা ধরা পড়েছে।,Cardiologist
"আমার বুকের ভেতরটা হঠাৎ করে ঠান্ডা হয়ে যায়, তারপর ধড়ফড় শুরু হয়।",Cardiologist
আমার পিঠের ফোঁড়াটা কি সাধারণ ফোঁড়া নাকি অন্য কিছু?,Surgery
আমার দাদের জায়গাটা চুলকানোর পর খুব জ্বলে।,Skin
"আমার নাক বন্ধ, সর্দি আছে আর অনেক হাঁচি আসে। আমার সর্দির সাথে রক্ত পরে।",Medicine
আমি পিরিয়ড বন্ধ করার স্থায়ী সমাধান চাই।,Gynecologist
চোখের পাতা লাল হয়ে চুলকায়।,Ophthalmologist
আমার মাঝে মাঝেই বমি হয় আর অনেক মাথা ব্যথা করে সাথে মাথা ঘোরায়,Medicine
আমার কাঁধটা মনে হয় যেন স্থানচ্যুত হয়ে গেছে।,Orthopedic
আমার নতুন কোনো ঔষধ শুরু করার আগে ডাক্তারের পরামর্শ নিতে এসেছি।,Cardiologist
"আমার ত্বকের নিচে একটা শক্ত গোটা, যেটা নড়াচড়া করে।",Skin
আমার হাত-পা ঠান্ডা হয়ে থাকে সবসময়।,Medicine
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে ঠান্ডা পানীয় খেলে তীব্র শিরশির অনুভূতি, এমনকি কামড় দিয়ে আপেল খেলেও। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
আমার শিশুর জন্মের পর থেকেই নাভি দিয়ে পানি ঝরে।,Surgery
আমার মায়ের পায়ে পানি আসে,Medicine
"আমার কারপাল টানেল সিন্ড্রোম হয়েছে, হাতে শক্তি পাই না।",Surgery
আমার মা বাথরুমের ভিতরে পরে গিয়েছিলো। এখন হাঁটতে পারছে না ব্যথায়। পায়ে অনেক ব্যথা পাচ্ছে দাঁড়াতেই পারছে না,Orthopedic
পিরিয়ডের সময় পেটে ব্যথার সাথে বমিও হয়।,Gynecologist
আমার হাজবেন্ডের বহু নারীর আসক্ত থেকে মুক্তির জন্য তাকে সাইকোলজিস্টের কাছে নিয়ে যেতে চাচ্ছি।কাইন্ডলি ভালো সাইকোলজিস্টের সন্ধান দিতে পারবেন।আর এর থেকে কী আসলেই কেউ ভালো হয়েছে?,Psychiatrist
আমার ঘাড়ে গ্লান্ড ফুলে গেছে।,Surgery
"আমার মেয়ের মাজা, হাঁটুতে প্রচন্ড ব্যথা করে",Orthopedic
আমার ত্বকে স্ট্রেচ মার্ক বা ফাটা দাগ পড়েছে।,Skin
আমার ফিস্টুলার জন্য সার্জারি লাগবে।,Surgery
আমার শরীরে ঘাম বসে চুলকানি হয়।,Skin
আমার শরীর অনেক দূর্বল লাগে। কিছু নির্দিষ্ট খাবারের গন্ধ ভালো লাগে না। বমি আসে। ,Medicine
আমার নিঃশ্বাস নিতে গেলে বুকে শব্দ হয়।,Cardiologist
শরীর এতো দুর্বল যে কোনো কিছুতেই মন বসে না।,Cardiologist
আমার মাথার চুলকানির সাথে সাথে চুলও জট বেঁধে যায়।,Skin
আমার এক মাস থেকে গলা ফুলে শক্ত হয়ে গেছে পাশাপাশি গিলতে গেলে গলায় যন্ত্রণা হয়। কাজে মনোযোগ দিতে পারছি না।,ENT
আমার এক মাস ধরে গলায় চিনচিন ব্যথা করছে এর সাথে টনসিল ফুলে গলায় ব্যথা করছে। যন্ত্রণায় ঘুমাতে পারছি না।,ENT
"কিভাবে প্যানিক থেকে মুক্তি পাওয়া যাবে বা কেউ যদি সুস্থ হয়ে থাকেন তা শেয়ার করবেন, তবে বাকিরা ও উপকৃত হবে।",Psychiatrist
আমার কাঁধের জয়েন্টে নাড়াচাড়া করতে সমস্যা হয়।,Orthopedic
"আমার গত কয়েক দিন যাবৎ মুখ শুকিয়ে যাওয়া, কারণ লালার অভাব বোধ করছি অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি।",Dentist
আজ বেশকিছু দিন ধরেই বার বার আত্মহত্যা করতে ইচ্ছে করছে বার বার। আমার ভিতরটা প্রিতিটা সেকেন্ডে জ্বলে পুড়ে ছারখার হয়ে যাচ্ছে।,Psychiatrist
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে ঠান্ডা পানীয় খেলে বিদ্যুৎ এর মত ঝাঁকুনি, এমনকি কামড় দিয়ে আপেল খেলেও।",Dentist
আমার হলদেটে সাদা স্রাব হয়।,Gynecologist
গর্ভধারণের আগেই ডাক্তারের পরামর্শ নিতে চাই।,Gynecologist
আমার কয়েক দিন থেকে কানে টনটনে ব্যথা করছে পাশাপাশি কানে কিছু আটকে আছে বলে মনে হয়।,ENT
আমি অনেক খারাপ ও দুঃখী দুঃখী অনুভব করছি ! কিন্তু কেন ?,Psychiatrist
আমার ঘাড় ঘোরালে মাথা ঘোরে।,Orthopedic
পরীক্ষা খারাপ হওয়ার পর আমার মাথা থেকে এটা কোনো ভাবেই বের করতে পারতেছিনা প্রত্যেকটা সময় আমার ভাবনা কি করলাম এইটা আমার সুসাইড করতে ইচ্ছা করে মনে হয় সুসাইড করলে সব সমাধান হয়ে যাবে,Psychiatrist
"আমার গত এক সপ্তাহ যাবৎ নিচের বাম দিকের ক্যানাইন দাঁতে তীব্র যন্ত্রণা, যা রাতের ঘুম নষ্ট করছে।",Dentist
প্রেগন্যান্সির দ্বিতীয় মাসে পেটের ডান পাশে ব্যথা।,Gynecologist
ছুরি বা কাঁচের আঘাতে আমার মাংসপেশী ও শিরা কেটে গেছে।,Surgery
আমার আস্তে আস্তে ওজন কমে যাচ্ছে আর বমি ভাব আর বমি হয়। দূর্বল লাগে।,Medicine
"আমার মাঝেমধ্যে মুড সুইং হয় এটা হওয়ার কারণে আমি খুব ডিব্রেশনে চলে যায় আমার মনে হয় আমি একটা আজব দুনিয়াতে বাস করছি মুড সুইং কেন এটার কারণ কি ,এর বা সমাধান কি",Psychiatrist
চোখে ধুলা পড়লেই অসহ্য লাগে।,Ophthalmologist
আমার চোখ দিয়ে পানি পড়ে।,Ophthalmologist
আমার মুখের চামড়া ঝুলে পড়ছে বলে মনে হচ্ছে।,Skin
কালিমা তৈয়্যিবা আর শাহাদাত পড়ে নিলাম।মনে হচ্ছে আমি মারা যাচ্ছি 😥,Psychiatrist
প্রায়ই চোখে অঞ্জনি হয়।,Ophthalmologist
আমি একা থাকতে পছন্দ করি।,Cardiologist
আমার এক সপ্তাহ থেকে কান ভেজা ভেজা লাগছে পাশাপাশি কানে টনটনে ব্যথা করছে। কাজে মনোযোগ দিতে পারছি না।,ENT
আমার ঘাড়ের ব্যথাটা চোয়াল পর্যন্ত যায়।,Orthopedic
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে দাঁতের সংযোগস্থলে এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। ব্যথানাশক ছাড়া চলছেই না।",Dentist
আমার বাতজ্বর হয়েছিল এবং ডাক্তার বলেছেন হার্টের সমস্যা হতে পারে।,Cardiologist
"আমার কিছুদিন সময় ধরে ঠান্ডা পানীয় খেলে বিদ্যুৎ এর মত ঝাঁকুনি, এমনকি কামড় দিয়ে আপেল খেলেও। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না এবং এর সাথে পচন দেখা যাচ্ছে।",Dentist
আমার প্লীহা ফেটে পেটের ভেতর রক্তক্ষরণ হচ্ছে।,Surgery
আমার পায়ে প্রায়ই ঝিনঝিন করে।,Cardiologist
আমার অনেক পেটে ব্যথা করে আর প্রস্রাবের নালী জ্বলে,Medicine
আমার হাতের আঙুলের ডগার চামড়া শক্ত হয়ে গেছে।,Skin
আমার মুখের রঙ শরীরের অন্য অংশের চেয়ে কালো।,Skin
"আমার পেসমেকার লাগানোর পর থেকে মাঝে মাঝে হেঁচকি ওঠে, এটা কি স্বাভাবিক?",Cardiologist
পিরিয়ড শুরু হওয়ার পরে প্রচণ্ড দুর্বলতা অনুভব করি।,Gynecologist
আমার বাবার কাঁধের ব্যথার কারণে তিনি রাতে ঘুমাতে পারেন না।,Orthopedic
"আমার গতকাল থেকে ঠান্ডা পানীয় খেলে দীর্ঘস্থায়ী অস্বস্তি, এমনকি কামড় দিয়ে আপেল খেলেও। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে।",Dentist
আমার চোখে ঝাপসা দেখি।,Ophthalmologist
আমার কোমর শক্ত হয়ে যায় সকালে ঘুম থেকে উঠার পর।,Medicine
আমার হার্টের ভাল্ভ রিপ্লেসমেন্ট করা হয়েছে।,Cardiologist
আমার মাথায় চাপ অনুভব করছি সবসময়।,Medicine
আমার স্তনে চাকা অনুভূত হয়।,Gynecologist
আমার জরায়ুর বাইরে গর্ভধারণ (এক্টোপিক প্রেগন্যান্সি) হয়েছে।,Surgery
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে দাঁতের গোড়ায় এ গভীর ক্যাভিটি, যা ঠান্ডা-গরমে সাড়া দেয়। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
চোখের পাতায় শুষ্ক ও লালভাব রয়েছে।,Ophthalmologist
গর্ভাবস্থায় ঠোঁট শুকিয়ে যায় বারবার।,Gynecologist
আমার হাতের চামড়া ফেটে রক্ত বের হয়।,Skin
আমার কয়েক মাস ধরে রাতে নাক বন্ধ হয়ে যায় এবং নাক দিয়ে রক্ত পড়ছে। কাজে মনোযোগ দিতে পারছি না।,ENT
চোখে মাঝেমাঝে আলোর রেখা দেখি।,Ophthalmologist
"আমার অনেক দিন সময় ধরে দাঁতের চিবোনোর পৃষ্ঠে এ পচন, যা থেকে মাঝে মাঝে পুঁজ বের হয়। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না পাশাপাশি মাড়ি ফোলা।",Dentist
আমার মেয়ে বেশিক্ষন হাঁটলে হাঁপাতে থাকে বুকে ব্যথা পায়,Cardiologist
আমার ঠোঁটের উপরের ত্বকে কালচে ভাব চলে এসেছে।,Skin
"জীবনে খারাপ সময় আসবে, অনেকের কাছে ঠকবেন, প্রিয় মানুষ হঠাৎই পরিবর্তন হয়ে যাবে, বন্ধু বান্ধব দ্বারা প্রতারিত হবেন,এগুলো হবে, জীবনে এগুলো হয়। এইসবকিছু আপনাকে মেনে নিতে হবে! এটাই জীবন!",Psychiatrist
"আমি বেশিক্ষণ গাড়ি চালাতে পারি না, পিঠে ব্যথা হয়।",Orthopedic
আমি চারদিন যাবত অনেক বেশি দুর্বল এবং খাবার খেলেও অরুচি হয়,Medicine
আমার হাটুতে তরল জমেছে বলে মনে হচ্ছে।,Surgery
আমার গত এক সপ্তাহ যাবত সকালে ঘুম থেকে উঠলে নাক দিয়ে রক্ত পড়ে পাশাপাশি গন্ধ পেলে বমি পায়।,ENT
আমার ত্বকটা রোদে পুড়ে তামাটে হয়ে গেছে।,Skin
"আমার প্রায় মাসখানেক ধরে বরফ/ঠান্ডা বাতাস খেলে ক্ষণিকের তীব্র যন্ত্রণা, শীতকালে সমস্যা বেড়ে যায়।",Dentist
আমার একটু পরপরই ক্ষুধা লাগে। আর অনেক দূর্বল লাগে।,Medicine
নিজেকে একা লাগে ,Psychiatrist
চোখের দৃষ্টিতে ছায়া দেখি।,Ophthalmologist
আমার কয়েক সপ্তাহ ধরে রাতে নাক বন্ধ হয়ে যায় সাথে সাথে হঠাৎ করেই নাক দিয়ে রক্ত বের হয়েছে। যন্ত্রণায় ঘুমাতে পারছি না।,ENT
আমার দুই সপ্তাহ থেকে নাকের এক পাশ সবসময় বন্ধ থাকে । মাথাব্যথা করছে।,ENT
চোখে ধুলা ঢুকলেই চুলকায়।,Ophthalmologist
আমার নাক দিয়ে রক্ত পড়ছে হঠাৎ করে।,Medicine
আমার বাবার গোড়ালি ফুলে গেছে এবং হাঁটতে অসুবিধা হচ্ছে।,Orthopedic
আমার মাথার ত্বকে এক ধরনের চটচটে ময়লা জমে।,Skin
আমার লিভারের একটি অংশ টিউমারের জন্য কেটে ফেলতে হবে।,Surgery
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে গরম চা/কফি খেলে তীব্র শিরশির অনুভূতি, যখন গরম ভাপ মুখে লাগে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে পাশাপাশি মাড়ি থেকে পুঁজ।",Dentist
আমার দাদার অনেক বুকে ব্যথা হয় সিঁড়ি বেয়ে উঠতে গেলে শ্বাস নিতে পারেন না,Cardiologist
আমার পিঠের ব্যথাটা পায়ের দিকে ছড়িয়ে পড়ছে।,Orthopedic
"আমার পরশু দিন থেকে মাড়ি থেকে পুঁজ, যা নোনা পানিতে জ্বালা করে স্থায়ীভাবে মাড়ি ক্ষয় হচ্ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
ব্লাড প্রেসার মাপার সময় রিডিং বারবার बदल যাচ্ছে।,Cardiologist
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে দাঁতের সংযোগস্থলে এ পচন, যা থেকে মাঝে মাঝে পুঁজ বের হয়। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি পাশাপাশি চোয়ালে ব্যথা।",Dentist
আমার মায়ের বুক অনেক জ্বালা পুড়া করে। অনেক ভাড়ি কিছু চাপ দেয় বুকে।,Cardiologist
আমার মাথার চুল মাঝখান থেকে পাতলা হয়ে যাচ্ছে।,Skin
আমার শরীরে খুব দুর্বল লাগছে এবং জ্বর জ্বর ভাব।,Medicine
আমার ত্বকের ক্ষতস্থান শুকিয়ে যাওয়ার পর খুব চুলকায়।,Skin
আমার মেয়ের বয়সের তুলনায় ত্বকে ভাঁজ পড়েছে।,Skin
আমি সুইসাইডাল হয়ে যাচ্ছি। আমার পাশে থেকে সান্ত্বনা দেওয়ার মতোন একটা লোক ও আজ নেই আমার সাথে বন্ধু বান্ধব সবাই ব্যস্ত। বিশেষ কেউ ও আমার নেই। সবকিছু মিলিয়ে মানসিক ভাবে আমি শেষ হয়ে যাচ্ছি।,Psychiatrist
আমার ত্বকে একটা আঁচড়ের দাগ স্থায়ী হয়ে গেছে।,Skin
"আমার পেশীগুলো দুর্বল হয়ে পড়েছে, সিঁড়ি ভাঙতে কষ্ট হয়।",Orthopedic
হোঁচট খেয়ে পড়ে যাওয়ার পর আমার পায়ের দাগটা এখনও যায়নি।,Orthopedic
আমার দাদার হার্টে ২ টা ব্লক ছিলো। এখন দাদা ব্যথার কারনে ঠিকমত চলতে পারে না,Cardiologist
আমার পায়ের পেছনের মাংসপেশিতে টান লাগে।,Orthopedic
আমার বাবার অনেক জ্বর আর সাথে পাতলা পায়খানা হচ্ছে,Medicine
"আমার গত এক সপ্তাহ যাবৎ দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে দাঁত কিড়মিড়ানোর অভ্যাস আছে। এবং এর সাথে মাড়ি ফোলা।",Dentist
চোখে ড্রপ দিলে চোখ জ্বালা করে।,Ophthalmologist
আমার ত্বকে কোনো তেল বা লোশন মাখতে পারি না।,Skin
আমার কাঁধ নাড়ালে ঘর্ষণের শব্দ হয়।,Orthopedic
ডাক্তার আমাকে ইকোকার্ডিওগ্রাম করার পরামর্শ দিয়েছেন।,Cardiologist
চোখ খোলা রাখলে গরম লাগে।,Ophthalmologist
এখন আমি এই চিন্তা করা থেকে মুক্তি পেতে চাই। যদি এই চিন্তা করা থেকে বিরত থাকতে না পারি তাহলে হয়তো একদিন না একদিন আত্মহত্যা করে ফেলতে পারি।,Psychiatrist
চোখের ভেতরে যেন কিছু আটকে আছে।,Ophthalmologist
আমার কাঁধের পেছনে একটা চিনচিনে ব্যথা হয়।,Orthopedic
আমার মায়ের হাড় খুব ভঙ্গুর।,Orthopedic
আমার এক মাস ধরে কানে চাপ দিলে হলদেটে তরল বের হয়।,ENT
আমার লিভারে সিরোসিস হওয়ায় লিভার প্রতিস্থাপন প্রয়োজন।,Surgery
আমার প্রস্রাবে জ্বালাপোড়া হচ্ছে।,Medicine
আমার শরীরের ত্বকে ছোট ছোট লাল বিন্দু দেখা যায়।,Skin
ঠান্ডা আবহাওয়ায় বা кондиционерের বাতাসে গেলে আমার বুকের ব্যথা বেড়ে যায়।,Cardiologist
চোখ খুলতে গিয়ে চোখে ব্যথা পাই।,Ophthalmologist
"আমার কয়েক মাস যাবত ধরে মাড়ি ফোলা, যা লালচে হয়ে আছে খাবার চিবোতে সমস্যা হচ্ছে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে।",Dentist
আমার ছেলের হাঁটুর চারপাশে ফোলা।,Orthopedic
আমার চোখ দিয়ে ময়লা বের হয়।,Ophthalmologist
আমার পেশীগুলো ক্লান্ত ও দুর্বল লাগে।,Orthopedic
এখন আমি একা থাকতে পারিনা বাসা দুশ্চিন্তা বেড়ে যায় যার কারনে আমার প্রশার বাড়া থাকে ভয় লাগে একা থাকলে কি করা যায় আমি প্যানিক ডিজঅর্ডার রোগি,Psychiatrist
আমার বাবার কাঁধের অস্ত্রোপচার হয়েছে।,Orthopedic
বুকের ব্যথাটা ডান হাত দিয়ে ছড়িয়ে পিঠের দিকে চলে যায়।,Cardiologist
আমার ভাঙা চোয়াল তার দিয়ে বাঁধতে হবে।,Surgery
আমার বুক অনেক জ্বালা পুড়া করে,Cardiologist
মাঝেমধ্যে চোখে আগুনের মতো লাগে।,Ophthalmologist
"আমার অনেক দিন সময় ধরে নিচের বাম দিকের ক্যানাইন দাঁতে থেমে থেমে ব্যথা, যা কিছুক্ষণ পরপর আসে। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে পাশাপাশি গরম চা/কফি এ সমস্যা।",Dentist
আমার কয়েক দিন ধরে কানে চাপ দিলে হলদেটে তরল বের হয়।,ENT
আমার চোখের পাতা ফুলে গেছে।,Ophthalmologist
আমার বুকে অনেক ব্যথা করে,Cardiologist
চোখের দৃষ্টি একবারে পরিষ্কার না।,Ophthalmologist
আমার গত কয়েক দিন যাবত কানে ভোঁ ভোঁ শব্দ হচ্ছে সাথে সাথে কানে অসহ্য যন্ত্রণা হচ্ছে। খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার পায়ে সুড়সুড়ি লাগে।,Orthopedic
আমার অনেক হাঁটুতে অনেক ব্যথা করে,Medicine
আমার কয়েক দিন ধরে কানে চাপ দিলে হলদেটে তরল বের হয় এর সাথে কানে কম শুনতে পাচ্ছি। শরীর দুর্বল লাগছে।,ENT
আমার দুই সপ্তাহ ধরে কণ্ঠস্বর কর্কশ হয়ে গেছে।,ENT
আমার মেয়ের গত সাত দিন যাবত অনেক জ্বর। খাবারের স্বাদ তিতা লাগে। ,Medicine
আমার মেয়ের হাঁটার সময় পা টলে যায়।,Orthopedic
আমার ত্বকে বয়সের ছাপ খুব তাড়াতাড়ি পড়ছে বলে মনে হয়।,Skin
প্রেগন্যান্সির সময় চোখে ঝাপসা দেখি।,Gynecologist
আমার পিত্তথলির পাথর অপারেশনের জন্য ডাক্তার দেখাতে হবে।,Surgery
